"filename", "language", "Markdown", "C#", "MSBuild", "JSON", "HTTP", "XML", "EditorConfig", "comment", "blank", "total"
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\Pang.RBAC.Api.deps.json", "JSON", 0, 0, 0, 4521, 0, 0, 0, 0, 0, 4521
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\Pang.RBAC.Api.runtimeconfig.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\net5.0\Pang.RBAC.Api.deps.json", "JSON", 0, 0, 0, 4521, 0, 0, 0, 0, 0, 4521
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\net5.0\Pang.RBAC.Api.runtimeconfig.dev.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\net5.0\Pang.RBAC.Api.runtimeconfig.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\net5.0\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\bin\Release\net5.0\publish\net5.0\appsettings.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Debug\net5.0\Pang.RBAC.Api.AssemblyInfo.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 10, 5, 25
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\obj\Debug\net5.0\Pang.RBAC.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
